"00TKCA60M5C","TKC_A60_M5C"
"1BX_717A1A4P1S6S6V1","R7,CPUB_N1,IO3232M1A,IO4848A,AD8,TP10_S6*2,V8X"
"1BX_717A1A4P1S6V1V1","R7,CPUB_N1,IO3232M1A,IO4848A,AD8,TP10_S6*1,V8X*2"
"1BX_717A1A4P5P5S6V1","R7,IO3232M1A,IO4848A,FRAD8*2,TP10_S6*1,V8A_V1"
"1BX_717A1P1SBSBSBSB","RACK7A,S700CPU,IO3232M1A,AD08,TPSB*4"
"1BX_717A2A2P1S1S1V1","R7,CPUB_N1*1,IO3248M1A*2,AD8B*1,TP10A_S1*2,V8A_V1*1"
"1BX_717A2A4P1S6S6V5","R7,CPUB_N1*1,IO3248M1A*1,IO4848A*1,AD8B*1,TP10A_S6*2,V8A_V5*1"
"1BX_717A2P5P5S2S2V5","R7,IO3248M1A,TRAD8*2,TP10_S2*2,V8A_V5"
"1BX_717A4A1P1S1S1V5","R7,7KCPUB,IO4848A,IO3232M1A,TP10_S1*2,V1"
"1BX_717A4A4A1P1S1V5","R7,CPUB_N1*1,IO4848A*1,IO4848A*1,IO3232M1A*1,AD8B*1,TP10A_S1*1,V8A_V5*1"
"1BX_717A4A4A1P1S6N6","R7,CPUN_N1,IO4848A*2,IO3232M1A"
"1BX_717A4A4P1S1S1V5","R7,CPUB_N1,IO4848A*2,AD8B*1,TP10_S1*2,V8A_V5"
"1BX_717A4A4P1S6N6","R7,CPUN_N1,IO4848A*2,AD8B*1,TP10_S6*1,PWM0_N6*1"
"1BX_717A4P1S1S1V5","R7,7KCPUB,IO4848A,TP10_S1*2,V5"
"1BX_717A4P1S1V1","CPUB_N1，IO4848A,AD8B,TP10_S1，V"
"1BX_717A4P1S6S6V2V2","R7,CPUN_N1,IO4848A,AD8B,TP10_S6*2,V8X_V2*2"
"1BX_717A4P5P5S2S2V5","R7,CPUN_N1,IO4848A,TRAD8*2,TP1"
"1BX_717I1I1P5P5S1M1","R7,CPUB_N1, AD8B*2,IO3232*2,TP10_S1,PWM09"
"1BX_717I1I1P5P5S1S6","R7,CPUB_N1, AD8B*2,IO3232*2,TP10_S1,S6"
"1BX_717I1I1P5P5S1V5","R7,CPUB_N1, AD8B*2,IO3232*2,TP10_S1,V5"
"1BX_717I1P1SBSBSBSB","RACK7A,S700CPU,IO3232,AD08,TPSB*4"
"1BX_718A1A4A4P5P5S6V5","R8,CPUB_N1*1,IO3232M1A*1,IO4848A*2,FRAD8*2,TP10A_S6*1,V8A_V5*1"
"1BX_718A1A4P1S1S1V1V5","R8,CPUB_N1,IO32M1A,IO4848A.AD8 ,TP10_S1*2,V8_V1,V8A_V5"
"1BX_718A1A4P1S1S1V2V2","R8,CPUB_N1,IO32M1A,IO4848A.AD8 ,TP10_S1*2,V8_V2*2"
"1BX_718A1A4P1S1S1V2V5","R8,CPUB_N1,IO32M1A,IO4848A.AD8 ,TP10_S1*2,V8_V2,V8A_V5"
"1BX_718A1A4P1S6S6V1V1","R8,CPUB_N1,IO3232A，IO4848A,AD8,TP10_S6*2,V8A_V1*2"
"1BX_718A1A4P5P5S1S1V2","R8,CPUB_N1,IO3232A，IO4848A,RFAD8*2,TP10_S1*2,V8A_V2*1"
"1BX_718A1A4P5P5S6S6V1","R8,CPUB_N1,IO3232A，IO4848A,FRAD8,TP10_S6*2,V8A_V1"
"1BX_718A2A4A1P5P5S6V1","R8,CPUB_N1*1,IO3248M1A*1,IO4848A*1,IO3232M1A*1,FRAD8*2,TP10A_S6*1,V8A_V1*1"
"1BX_718A4A4A1P5P5S6N6","R8,N1,IO4848A*2，IO3232A,FRAD8*2,TP10_S6,PWM0_N6"
"1BX_718A4A4A4P5P5S6N6","R8,CPUB_N1,IO4848A*3,FRAD8*2,TP10_S6,PWM0_N6"
"1BX_718A4A4A4P5P5S6V5","RACK8，CPUB_N1，IO4848A*2，AD8B*2，TP10_S6，V8A_V5"
"1BX_718A4A4P5P5S6V1V1","R8,CPUB_N1,IO4848A*2,FRAD8*2,TP10_S6,V8A_V1*2"
"1BX_718I1I4P1S1S1V2V5","R8,CPUB_N1,IO32,IO4848.AD8 ,TP10_S1*2,V8_V2,V8_V5"
"1BX_718I1P1SBSBSBSBSB","R8,CPUB_N1,IO3232M1A,AD8B*1,SB*5"
"1BX_719A1A4P52S12V2V5","R9,CPUB_N1,IO3232M1A,IO4848A,FRAD8*2,S1*2,V2,V5"
"1BX_719A1P1SBSBSBSBSBSB","R9，CPUB_N1，IO3232M1A,AD8B,TP10SB*6"
"1BX_719A4A1P52S22V5V4","R9,CPUB,IO4848A,IO3232M1A,FRAD"
"1BX_719A4A4P5P5S1S1V2V5","R9,CPUB_N1,IO4848*2A,FRAD8*2,S1*2,V2,V5"
"1BX_719A4A4P5P5S1S1V2V8","R9,CPUB_N1,IO4848*2A,FRAD8*2,S1*2,V2,V8"
"1BX_74A1P1M1","R4,700CPU,AD8.IO3232M1A,PWM09"
"1BX_75I2P1M1M1","R5,700CPU,AD8,IO3248,PWM09*2"
"1BX_75I4P1S6V1","1BX_75I4P1S6V1"
"1BX_77I1I4P1S1S1V2","主机RACK7A,S700CPU,IO3232,IO4848,AD08,S1*2,V8X"
"1BX_87I1I4S1","8K CPU+IO32+IO48+TMP"
